Stofgroep	Stofnaam	CAS-nummer	Afdeling	Branche	Subbranche	Compartiment	Emissiestatus	
ZZS lood en loodverbindingen	lood (IV) propionaat	19183-30-3	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	lood 2,4-dihydroxybenzoaat	20936-32-7	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	lood 4,6-dinitro-2-aminofenolaat		3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodlegering, base, Pb,Sn, slakken	69011-60-5	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	lood bis(2,4-dihydroxybenzoaat)	41453-50-3	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	lood bis(2-ethylhexanoaat)	301-08-6	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	lood bis(4-cyclohexylbutyraat)	62637-99-4	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodcarbonaat intermediair 		3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodchloride hydroxiden, terugwinningsproducten van de productie van lood- en bismutchemicaliën 		3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodconcentraat		3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	looddibromide	10031-22-8	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	looddichloride	7758-95-4	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	looddifluoride	7783-46-2	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	looddiiodide	10101-63-0	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	looddilauraat	15773-55-4	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	looddisalicylaat	15748-73-9	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	looddistearaat	1072-35-1	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodditantalum hexaoxide	12065-68-8	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	looddithiocyanaat	592-87-0	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	looddivanadium hexaoxide	10099-79-3	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodwaterstoforthofosfaat	15845-52-0	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	loodhydroxide	19783-14-3	3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	looderts concentraat		3.9 Sport en recreatie			Water	Emissie mogelijk
ZZS lood en loodverbindingen	looderst, concentraten		3.9 Sport en recreatie			Water	Emissie mogelijk
